isAfterCommit;commitId;comment_lines;complexity;lines;statements
false;c7329fefc890050edd51e40e469a154d0117fc55;587;1203;7405;2967
true;c7329fefc890050edd51e40e469a154d0117fc55;594;1212;7482;3001
false;527381198e8112dd298918b3d9d6c643763a59c3;544;1069;6624;2566
true;527381198e8112dd298918b3d9d6c643763a59c3;544;1069;6624;2566
false;5c754e6e07b536826d0a3b4e010d839482f3dd2c;557;1083;6649;2574
true;5c754e6e07b536826d0a3b4e010d839482f3dd2c;554;1072;6632;2565
false;72c66dfdecbcc165c52fcd19d1f8444ad8c011c6;542;1038;6337;2414
true;72c66dfdecbcc165c52fcd19d1f8444ad8c011c6;552;1044;6373;2429
false;df6d3ce6cf10432b7920d8c3ac0efb7254989bc4;523;946;5855;2185
true;df6d3ce6cf10432b7920d8c3ac0efb7254989bc4;524;975;5994;2243
false;0e2f4f14171ccd161e85478c7b1aba61c3b431a2;428;761;4848;1739
true;0e2f4f14171ccd161e85478c7b1aba61c3b431a2;447;770;4922;1768
false;203cbc2da0ef0f68d517ba2a6176df1d48efc2fb;428;761;4848;1739
true;203cbc2da0ef0f68d517ba2a6176df1d48efc2fb;428;761;4848;1739
false;2797f10ea5d2cd963a8e5c80da319848bad9f499;405;695;4515;1576
true;2797f10ea5d2cd963a8e5c80da319848bad9f499;405;695;4514;1576
false;d23f9d5d4782e5849362895f8b648ed587999706;417;701;4547;1585
true;d23f9d5d4782e5849362895f8b648ed587999706;417;712;4575;1601
false;dcbb35226245483930a1f2969927a3b348bb2558;395;660;4424;1547
true;dcbb35226245483930a1f2969927a3b348bb2558;404;678;4439;1541
false;ca0617061e77f8fca502cacd0cced92242b3712e;355;613;4435;1533
true;ca0617061e77f8fca502cacd0cced92242b3712e;357;616;4446;1539
isAfterCommit;commitId;comment_lines;complexity;lines;statements
false;986647be59259125750fd44dbb429658d67dc156;355;580;4239;1455
true;986647be59259125750fd44dbb429658d67dc156;346;574;4208;1441
false;bce07e53aa681367082ce9f683de366918647cd6;324;534;3876;1281
true;bce07e53aa681367082ce9f683de366918647cd6;324;534;3876;1281
false;3d65057d7111d7873cf4fad40805cd9ebe327574;317;475;3615;1175
true;3d65057d7111d7873cf4fad40805cd9ebe327574;312;485;3635;1181
false;a59bc8d2ae218484cdcb1d7e6a295a4ff93225a1;324;482;3646;1179
true;a59bc8d2ae218484cdcb1d7e6a295a4ff93225a1;325;494;3698;1200
false;4ac0fbd1c1dc0c5f9ac290b635d6eee3783e355b;324;479;3621;1165
true;4ac0fbd1c1dc0c5f9ac290b635d6eee3783e355b;324;479;3621;1165
false;b10874fa67ed77dd6ecbe1fd1f6eb2045ce9854f;319;455;3473;1106
true;b10874fa67ed77dd6ecbe1fd1f6eb2045ce9854f;324;479;3613;1167
false;1629a026da17a1e1d8999a02f3fe6b6b60aaac9c;285;438;3368;1104
true;1629a026da17a1e1d8999a02f3fe6b6b60aaac9c;286;443;3398;1118
false;fc12b933f729f236b2149872c42961a8626dafb7;250;378;3080;1011
true;fc12b933f729f236b2149872c42961a8626dafb7;246;399;3093;1032
false;fa6c26a0e5eaad5d58071eb39d7afff0c7dc051c;257;409;2879;953
true;fa6c26a0e5eaad5d58071eb39d7afff0c7dc051c;257;409;2879;953
false;bbf437ce4c4115b24b7be575fbb1a74c45e616c8;234;409;2843;947
true;bbf437ce4c4115b24b7be575fbb1a74c45e616c8;249;409;2870;953
false;9e3830cf9229325240df60b5e6a6d70076645102;212;394;2756;912
true;9e3830cf9229325240df60b5e6a6d70076645102;234;409;2843;947
false;1d6430f667486ca9de390ccec242114b36c41377;192;246;2089;650
true;1d6430f667486ca9de390ccec242114b36c41377;192;246;2089;650
false;1b803fb2334f14044a4c57640883103729ae615b;192;234;1972;605
true;1b803fb2334f14044a4c57640883103729ae615b;192;234;1971;604
false;59eb2b6204fa3730fc91258b5180eb0f8397fd8d;171;201;1777;516
true;59eb2b6204fa3730fc91258b5180eb0f8397fd8d;171;210;1814;536
false;f4a334e17c3031970a5cb614551d057948f7d09f;160;176;1599;438
true;f4a334e17c3031970a5cb614551d057948f7d09f;171;192;1712;477
false;cec3482ff7c5d7877e1343e4aa7e18e3a76a1456;91;121;916;308
true;cec3482ff7c5d7877e1343e4aa7e18e3a76a1456;128;130;1012;325
false;d49cb34591f37d1e1a8fcf3421599c628d9746c6;89;113;885;296
true;d49cb34591f37d1e1a8fcf3421599c628d9746c6;91;121;916;308
false;9096d34186d5a5148f06c07854b21d6cc8035e96;19;62;496;140
true;9096d34186d5a5148f06c07854b21d6cc8035e96;71;82;671;213
false;0d0b8370205f62c65ee2e51262dab6bc48569548;19;62;490;140
true;0d0b8370205f62c65ee2e51262dab6bc48569548;19;62;496;140
